,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
340,"['Interesting', 'chat', 'with', '$OTEX', 'CEO', 'Says', 'Open', 'Text', 'taking', 'more', 'measured', 'approach', 'to', 'growth', 'than', 'other', 'cloud', 'firms', 'quotMoving', 'forward', 'purposely', 'quot']",2014-10-29,09:17:45,EST,28563853,OTEX,"[u'suggested', u'official']",14672,23887,,[],Novice,Long Term Investor,lamonicabuzz
341,"['quot', '@crosshairtrader', 'With', 'the', 'multiple', '$BABA', 'upgrades', 'this', 'morning', 'it', 'must', 'be', 'time', 'to', 'sell', 'quot', 'like', 'I', 'said']",2014-10-29,09:17:33,EST,28563835,BABA,[u'suggested'],11352,23961,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,crosshairtrader
342,"['$INFA', 'Long', 'Setup']",2014-10-29,09:17:10,EST,28563806,INFA,"[u'suggested', u'official']",2249,32071,Technical,"[u'Equities', u'Futures']",Professional,Swing Trader,SharePlanner
343,"['Materials', '$XLB', 'a', 'big', '$SPX', 'sector', 'laggard', '$ESF', 'now', '198250', '250']",2014-10-29,09:16:59,EST,28563794,ES_F,[u'suggested'],3201,174360,Technical,"[u'Equities', u'Options', u'Futures']",Intermediate,Day Trader,ep_capital
344,"['NEW', 'POST', 'Prepping', 'for', 'the', 'Big', 'Screen', '$FB', '$IWM', '$QQQ', '$SPY', '$UGAZ']",2014-10-29,09:16:53,EST,28563789,IWM,[u'suggested'],22958,8482,Technical,[u'Equities'],Professional,Swing Trader,chessNwine
345,"['$DJIA', 'Chemical', 'Activity', 'Barometer', 'slightly', 'down', 'in', 'October', 'but', 'still', 'projects', 'solid', 'growth', '$DIA']",2014-10-29,09:16:36,EST,28563758,DJIA,"[u'suggested', u'official']",30788,13740,,[u'Equities'],Professional,,hertcapital
346,"['@yieldhawk', 'I', 'know', 'Uknow', 'but', '4the', 'uninitiated', '$TUBE', 'mogul', 'I', 'won', '39t', 'fall', 'in', 'love', 'w', 'the', 'stock', 'still', 'Potential']",2014-10-29,09:16:25,EST,28563744,TUBE,[u'suggested'],1623,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
347,"['Shell', 'Midstream', 'Partners', 'LP', '$SHLX', 'IPO', 'Opens', 'Sharply', 'Higher']",2014-10-29,09:15:01,EST,28563627,SHLX,"[u'suggested', u'official']",48372,8203,Fundamental,[u'Equities'],Professional,,Street_Insider
348,"['Share', 'an', 'idea', 'on', '$FEYE']",2014-10-29,09:14:48,EST,28563609,FEYE,[u'suggested'],1433,184733,Technical,"[u'Equities', u'Futures', u'Bonds']",Intermediate,,MoenchArt
349,"['Crude', 'offers', 'new', 'stimulation', '$CLF']",2014-10-29,09:14:21,EST,28563582,CL_F,"[u'suggested', u'official']",1138,193178,Technical,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds']",Professional,,FuturesMagazine
350,"['$SPXU', 'stop', 'set', 'to', 'break', 'even', 'area', 'This', 'needed', 'to', 'blast', 'as', 'a', 'scalp', 'trade', 'and', 'so', 'far', 'not', 'happening']",2014-10-29,09:13:27,EST,28563514,SPXU,[u'suggested'],14756,6375,Technical,[u'Equities'],Intermediate,Swing Trader,SunriseTrader
351,"['maaaybe', 'that', '$hes', 'news', 'leads', 'to', 'meaningful', 'bottoms', 'in', '$rig', '$sdrl', 'etc', 'RIG', 'look', 'gt']",2014-10-29,09:13:26,EST,28563512,HES,"[u'suggested', u'official']",1344,18652,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,a_jackson
352,"['What', '39s', 'new', 'Ebola', 'or', 'just', 'Janet', 'Yellen', '$VXX', '$SPY', '$IWM', '$QQQ', 'didn', '39t', 'budge', 'though']",2014-10-29,09:13:20,EST,28563501,IWM,[u'suggested'],3212,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
353,"['$AGIO', 'took', 'last', '14', 'off', '1310', 'will', 'watch', '4', 'bounce', 'area', '10ema', 'etc', 'rotation']",2014-10-29,09:13:04,EST,28563486,AGIO,[u'suggested'],1623,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
354,"['$VXX', 'quite', 'a', 'spike', 'there']",2014-10-29,09:12:43,EST,28563456,VXX,[u'suggested'],3212,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
355,"['Any', 'sort', 'of', 'close', 'here', 'or', 'lower', 'would', 'stop', 'me', 'out', 'of', 'the', 'second', 'half', 'of', '$ACHN', 'FYI']",2014-10-29,09:11:20,EST,28563350,ACHN,[u'suggested'],23925,143396,Technical,[u'Equities'],Intermediate,Swing Trader,BenCBanks
356,"['$baba', 'covered', '9817', 'the', 'rest', 'filled', 'yesterdays', 'gap']",2014-10-29,09:10:47,EST,28563301,BABA,[u'suggested'],19091,122643,Momentum,[u'Equities'],Professional,Day Trader,kunal00
357,"['Hess', '$HES', 'sees', '2014', 'production', 'near', 'high', 'end', 'of', 'forecast']",2014-10-29,09:10:40,EST,28563292,HES,"[u'suggested', u'official']",36014,223547,Global Macro,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds']",Professional,Day Trader,FinancialJuice
358,"['$PFE', 'yup', 'have', 'a', 'position', 'pre-EPS', 'NOV', 'calls', 'watching', 'VBP', 'resistance', 'here']",2014-10-29,09:10:21,EST,28563278,PFE,[u'suggested'],1623,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
359,"['Oil', 'likes', 'wedging', 'this', 'week', 'this', 'time', 'on', 'the', '1', 'min', 'chart', '$clf', '$uso']",2014-10-29,09:09:10,EST,28563188,CL_F,"[u'suggested', u'official']",1344,18652,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,a_jackson
360,"['@yieldhawk', 'in', 'addition', 'people', 'said', 'that', 'about', '$GPRO', 'too', '40', 'to', 'a', '100', 'like', 'a', 'Porsche', '$TUBE']",2014-10-29,09:08:45,EST,28563148,GPRO,[u'suggested'],1623,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
361,"['$rgls', '20', 'is', 'big', 'res', 'will', 'watch', 'closely', 'in', 'case', 'i', 'need', 'to', 'sell']",2014-10-29,09:07:39,EST,28563051,RGLS,[u'suggested'],19091,122643,Momentum,[u'Equities'],Professional,Day Trader,kunal00
362,"['I', 'just', 'got', 'an', 'e-mail', 'from', 'Barnes', 'amp', 'Noble', 'for', 'quotup', 'to', '50', 'off', 'quot', 'of', 'various', 'Rosetta', 'Stone', 'packages', 'It', 'NEVER', 'goes', 'on', 'sale', '$RST']",2014-10-29,09:07:28,EST,28563026,RST,"[u'suggested', u'official']",19063,114233,Fundamental,[u'Equities'],Professional,Long Term Investor,TraceyRyniec
363,"['$ACHN', 'Today', 'goes', 'to', 'show', 'why', 'we', 'built', 'a', 'system', 'of', 'selling', 'strength', 'into', 'our', 'process', 'Happy', 'to', 'take', 'a', 'loss', 'on', 'the', 'second', 'half', 'if', 'need', 'be']",2014-10-29,09:06:20,EST,28562930,ACHN,[u'suggested'],23925,143396,Technical,[u'Equities'],Intermediate,Swing Trader,BenCBanks
364,"['$IWM', 'Bumped', 'its', 'head', 'on', 'its', 'ST', 'down', 'trend', 'line', 'Short']",2014-10-29,09:05:10,EST,28562845,IWM,[u'suggested'],24770,186026,Technical,[u'Options'],Professional,Swing Trader,TraderRL23
365,"['I', 'posted', 'this', 'chart', 'on', '$WYNN', 'yest', 'showing', 'a', 'key', 'RPivot', 'level', 'Today', '39s', 'High', '19245']",2014-10-29,09:04:22,EST,28562789,WYNN,"[u'suggested', u'official']",29491,12134,Technical,"[u'Equities', u'Options', u'Forex', u'Futures', u'Private Companies']",Intermediate,Swing Trader,1nvestor
366,"['$ESF', 'top', 'of', 'kumo', 'just', 'overhead', 'anticipating', 'a', 'pause', 'there', 'like', '1022', 'amp', '1027']",2014-10-29,09:03:47,EST,28562738,ES_F,[u'suggested'],1623,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
367,"['$GILD', 'in', 'Q3', 'generated', '$404', 'B', 'in', 'operating', 'cash', 'flow']",2014-10-29,09:02:53,EST,28562662,GILD,[u'suggested'],21216,3295,Fundamental,[u'Equities'],Intermediate,Long Term Investor,WallStreetBean
368,"['$GILD', 'quotAs', 'of', 'September', '30', '2014', 'had', '$769', 'billion', 'of', 'cash', 'cash', 'equivalents', 'and', 'marketable', 'securities', 'quot']",2014-10-29,09:02:04,EST,28562590,GILD,[u'suggested'],21216,3295,Fundamental,[u'Equities'],Intermediate,Long Term Investor,WallStreetBean
369,"['$TWTR', 'flapping', 'lower', 'My', 'stop', 'is', 'BE', 'Might', 'get', 'stopped', 'out', 'lol']",2014-10-29,09:02:04,EST,28562591,TWTR,[u'suggested'],3212,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
370,"['Belgian', 'GDP', 'SA', 'Q3', 'P', 'QQ', '02', 'vs', 'Prev', '01', '$EURUSD', '$MACRO', '$FDAXF']",2014-10-29,09:00:27,EST,28562447,EURUSD,"[u'suggested', u'official']",36014,223547,Global Macro,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds']",Professional,Day Trader,FinancialJuice
371,"['How', 'Money', 'is', 'Made', 'amp', 'Printed', '$SPY', '$STUDY', '$UUP']",2014-10-29,09:00:20,EST,28562439,SPY,[u'suggested'],22958,8482,Technical,[u'Equities'],Professional,Swing Trader,chessNwine
372,"['Being', 'Early', 'On', 'An', 'Early', 'Asset', 'Trillium', 'May', 'Be', 'A', 'Diamond', 'In', 'The', 'Rough', 'Immunotherapy', 'Stock', '$SCTPF', '$CELG']",2014-10-29,09:00:15,EST,28562431,CELG,"[u'suggested', u'official']",335,296805,,[],,,TalkMarkets
