,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
42,"['$DDD', 'one', 'day', 'wonder', 'still', 'a', 'piece', 'of', 'junk', 'like', 'it', 'or', 'not']",2014-11-26,14:27:19,EST,29668687,DDD,[u'suggested'],2645,5890,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,financialtrader
43,"['A', 'super', 'day', 'from', 'some', 'stocks', 'like', '$GPRO', '$BITA', '$FB', 'which', 'are', 'working', 'well']",2014-11-26,14:26:28,EST,29668636,GPRO,[u'suggested'],25383,23658,Technical,[u'Equities'],Professional,Swing Trader,DanZanger
44,"['$AAL', 'ltFollow', 'the', 'Channels', 'gt', 'TAOD']",2014-11-26,14:26:04,EST,29668610,AAL,[u'suggested'],19712,74552,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,ClueLess8
45,"['Conditioning', 'Abnormal', 'Responses', '$STUDY']",2014-11-26,14:25:52,EST,29668594,STUDY,"[u'suggested', u'official']",18973,22942,Technical,"[u'Equities', u'Options', u'Forex']",Professional,Swing Trader,MercenaryMike
46,"['$NLNK', 'new', 'HOD']",2014-11-26,14:25:26,EST,29668569,NLNK,[u'suggested'],3847,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
47,"['Crude', 'headed', 'into', 'pit', 'session', 'close', 'in', '5', 'minutes', 'will', 'have', 'numbers', 'on', 'close', '$ESF']",2014-11-26,14:25:16,EST,29668561,ES_F,"[u'suggested', u'official']",2739,170238,,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds', u'Private Companies']",Professional,,TradersAudio
48,"['Knowledge', 'Work', 'Athletics', 'and', 'Getting', 'Things', 'Done', '$STUDY']",2014-11-26,14:25:08,EST,29668547,STUDY,"[u'suggested', u'official']",18973,22942,Technical,"[u'Equities', u'Options', u'Forex']",Professional,Swing Trader,MercenaryMike
49,"['$ORCLpic', 'AFTER', 'Tax', 'Profit', 'up', '400', 'Tax', 'Rate', 'Down', '40', '$STUDY']",2014-11-26,14:25:07,EST,29668545,ORCL,[u'suggested'],2284,394798,,[],,,CapitalMarketLabs
50,"['Refiners', 'happy', 'with', 'gasolene', 'near', '2', 'year', 'low', 'while', 'oil', 'falls', 'to', '5', 'year', 'low', '$UGA', '$USO', '$XLE']",2014-11-26,14:24:53,EST,29668524,UGA,[u'suggested'],4693,1406,Global Macro,"[u'Equities', u'Bonds']",Professional,Position Trader,macroQmicro
51,"['$QCOM', 'pic', 'AFTER', 'Tax', 'Profit', 'up', '400', 'Tax', 'Rate', 'Down', '50', '$STUDY']",2014-11-26,14:24:43,EST,29668515,QCOM,[u'suggested'],2284,394798,,[],,,CapitalMarketLabs
52,"['quot', '@WallStJesus', '$TER', '4090', 'TER', 'Apr-15', '$20', 'calls', 'now', 'traded', '25x', 'normal', 'quot']",2014-11-26,14:22:14,EST,29668371,TER,[u'suggested'],3845,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
53,"['Magic', 'Merkel', 'and', 'her', 'DAX', 'Dragonfly', 'Capital', '$EWG']",2014-11-26,14:22:02,EST,29668364,EWG,"[u'suggested', u'official']",64308,881,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,harmongreg
